date,close_last_nvidia,close_last_sp500,close_last_apple,close_last_amd
2021-10-05,$20.451,4345.72,$141.11,$101.81
2021-10-04,$19.732,4300.46,$139.14,$100.34
2021-10-01,$20.742,4357.04,$142.65,$102.45
2021-09-30,$20.716,4307.54,$141.50,$102.90
2021-09-29,$20.517,4359.46,$142.83,$100.35
2021-09-28,$20.699,4352.63,$141.91,$101.52
2021-09-27,$21.66,4443.11,$145.37,$108.16
2021-09-24,$22.081,4455.48,$146.92,$105.80
2021-09-23,$22.482,4448.98,$146.83,$106.15
2021-09-22,$21.941,4395.64,$145.85,$104.38
2021-09-21,$21.246,4354.19,$143.43,$102.82
2021-09-20,$21.113,4357.73,$142.94,$101.55
2021-09-17,$21.90,4432.99,$146.06,$103.88
2021-09-16,$22.242,4473.75,$148.79,$106.22
2021-09-15,$22.341,4480.70,$149.03,$105.60
2021-09-14,$22.242,4443.05,$148.12,$105.73
2021-09-13,$22.152,4468.73,$149.55,$104.80
2021-09-10,$22.478,4458.58,$148.97,$105.20
2021-09-09,$22.177,4493.28,$154.07,$106.15
2021-09-08,$22.339,4514.07,$155.11,$106.17
2021-09-07,$22.662,4520.03,$156.69,$109.15
2021-09-03,$22.843,4535.43,$154.30,$109.92
2021-09-02,$22.396,4536.95,$153.65,$109.20
2021-09-01,$22.441,4524.09,$152.51,$109.99
2021-08-31,$22.385,4522.68,$151.83,$110.72
2021-08-30,$22.688,4528.79,$153.12,$111.32
2021-08-27,$22.636,4509.37,$148.60,$111.40
2021-08-26,$22.068,4470.00,$147.54,$107.27
2021-08-25,$22.213,4496.19,$148.36,$108.30
2021-08-24,$21.793,4486.23,$149.62,$107.65
2021-08-23,$21.958,4479.53,$149.71,$108.77
2021-08-20,$20.816,4441.67,$148.19,$104.65
2021-08-19,$19.798,4405.80,$146.70,$103.70
2021-08-18,$19.04,4400.27,$146.36,$103.44
2021-08-17,$19.458,4448.08,$150.19,$107.56
2021-08-16,$19.95,4479.71,$151.12,$107.48
2021-08-13,$20.188,4468.00,$149.10,$110.55
2021-08-12,$19.905,4460.83,$148.89,$106.50
2021-08-11,$19.699,4447.70,$145.86,$107.68
2021-08-10,$19.936,4436.75,$145.60,$106.48
2021-08-09,$20.295,4432.35,$146.09,$107.58
2021-08-06,$20.366,4436.52,$146.14,$110.11
2021-08-05,$20.637,4429.10,$147.06,$112.35
2021-08-04,$20.274,4402.66,$146.95,$118.77
